title,time_added,description_excerpt,image_url
USED PARTS FOR SALE UP 60% DISCOUNT ON USED PARTS/SPARES,8 days ago,ARESBREAKING UP FOR PARTS2014 FORD RANGER 2.2 TDCI2012 TOYOTA 86 2.0 2016 TOYOTA AVANZA 1.3i2016 DATSUN GO 1.2i2014,https://i.ebayimg.com/images/g/LrQAAOSw50BdpMOS/s-l200.jpg
Car Hire Car Rental Monthly Car Hire,2 mons ago,"ly Rate R525 (Min 2 days)Weekly Rate R2,750Monthly Rate R6,750Km 100 Free Daily. Additional Km @ R2 eaRefundable De",https://i.ebayimg.com/images/g/zKYAAOSwUElcdCXG/s-l200.jpg
2016 Volkswagen Polo 1.2 TSI Comfortline,12 days ago,"l, Airbags, ABS, Radio/CD/Aux/USB, Central Locking, Electric Windows, Power Steering, Finance, Insurance and Warran",https://i.ebayimg.com/images/g/wPoAAOSwZwldnz6K/s-l200.jpg
2016 VW Polo Vivo Hatch 1.4 Comfortline for sale!,6 mins ago,nance available at All Major Banks.Best Prices paid for Trade ins.No Deposit Needed.Visit us First for all your mot,https://i.ebayimg.com/images/g/V~AAAOSwqYhdg0I8/s-l200.jpg
"Light on Fuel, 2013 VW Polo 1.2 TDI BlueMotion for sale!",6 mins ago,emotion For saleMedia Controls on Steering WheelCd Player and Blue Tooth.Very Neat inside and out.Finance available,https://i.ebayimg.com/images/g/VFwAAOSw-tldcpZb/s-l200.jpg
2017 Volkswagen Polo 1.2 TSI Comfortline for sale!,6 mins ago,etrolMagsTouch Screen CD player and RadioSpotlightsOnboard Computer and MoreFinance availableTrade ins accepted Fin,https://i.ebayimg.com/images/g/4PAAAOSwLwtdl1pj/s-l200.jpg
2016 Volkswagen Polo 1.2 TSI Comfortline for sale!,6 mins ago,"tline for sale!Touch Screen Radio /cd Player /Blue Tooth ConnectionPanoramic RoofMag WheelsAircon, PowersteeringCen",https://i.ebayimg.com/images/g/XuUAAOSwpn9dl3rj/s-l200.jpg
2004 Volkswagen Polo 1.6 Trendline with only 167677km @ a bargain R79995 for more info call 021 5919,9 mins ago,for sale!167677 KMSR79995FULL SERVICE HISTORY FRONT ELECTRIC WINDOWSCENTRAL LOCKING RADIO/CDAIRBAGSAIRCONSPARE KEYS,https://i.ebayimg.com/images/g/BLEAAOSw3nNdrxHY/s-l200.jpg
2012 Volkswagen Polo Vivo Sedan 1.4 Trendline Tiptronic with only 106414km for more info call 021 59,9 mins ago, Trendline Tiptronic for sale!106414 kmsR 139995FULL SERVICE HISTORYCENTRAL LOCKING SMASH AND GRAB FACTORY FITTED R,https://i.ebayimg.com/images/g/8AQAAOSwR8hdrxG5/s-l200.jpg
2012 Volkswagen Polo Vivo Sedan 1.4 with only 37800km! for more info call 021 5919449,10 mins ago, Base for sale!37800 KM R 124995FULL SERVICE HISTORYPOWERSTEERING CENTRAL LOCKING AIRBAGS AIRCONFACTORY FITTED RADI,https://i.ebayimg.com/images/g/MlIAAOSwi5VdrxFt/s-l200.jpg
VW POLO CLP 1.4 ENGINE FOR SALE,12 mins ago,s Available: 1,https://i.ebayimg.com/images/g/eaMAAOSwpJRdluYP/s-l200.jpg
Vehicle Leds and Parks ON SPECIAL ,12 mins ago,"Kits, H1/H4/H7/H11/9005 @ R199 per set2. H7 RGB Color Changing with Remote @ R1693. Parks And Interior Leds @ R59 P",https://i.ebayimg.com/images/g/650AAOSwaQ9dGjIX/s-l200.jpg
2014 Volkswagen Polo 1.2 TSI Comfortline with only 111281km for more info call 021 5919449,13 mins ago,tline  111281 KMSR169995FULL SERVICE HISTORY AIRCON AIRBAGSPOWERSTEERINGSPARE KEYSELECTRIC WINDOWSELECTRIC MIRRORS ,https://i.ebayimg.com/images/g/NaQAAOSwa-hdrxC-/s-l200.jpg
2017 Volkswagen Polo 1.2 TSI Trendline for sale!,13 mins ago,Mag wheels and tyres. Spot Lights.Front Electric Windows.Alarm and central locking.Power steering. Air Con.Smash an,https://i.ebayimg.com/images/g/xRoAAOSwACpdbg2y/s-l200.jpg
2013 Volkswagen Polo 1.2 TDI BlueMotion for sale!,13 mins ago, 000km service just completed at VW.Electric windows. Spot Lights.Very Economical. Alarm and central locking.Power ,https://i.ebayimg.com/images/g/EPQAAOSwPERdbg31/s-l200.jpg
